1.018333333333333357e+01,2.305000000000000071e+01,4.341666666666666430e+01,5.889999999999999858e+01,6.471666666666666856e+01,6.069999999999999574e+01,5.871666666666666146e+01,5.253333333333333144e+01,4.433333333333333570e+01,3.004999999999999716e+01
1.016666666666666607e+01,2.376666666666666572e+01,3.821666666666666856e+01,6.103333333333333144e+01,6.691666666666667140e+01,6.373333333333333428e+01,6.253333333333333144e+01,6.028333333333333144e+01,5.428333333333333144e+01,4.113333333333333286e+01
1.011666666666666714e+01,2.393333333333333357e+01,3.896666666666666856e+01,6.141666666666666430e+01,6.690000000000000568e+01,6.276666666666667282e+01,6.284999999999999432e+01,5.900000000000000000e+01,5.170000000000000284e+01,3.523333333333333428e+01
9.199999999999999289e+00,2.685000000000000142e+01,4.810000000000000142e+01,6.446666666666666856e+01,6.861666666666667425e+01,6.616666666666665719e+01,6.300000000000000000e+01,5.623333333333333428e+01,4.326666666666666572e+01,2.741666666666666785e+01
1.013333333333333286e+01,2.363333333333333286e+01,3.218333333333333712e+01,4.966666666666666430e+01,6.039999999999999858e+01,5.626666666666666572e+01,5.543333333333333712e+01,5.301666666666666572e+01,4.539999999999999858e+01,2.948333333333333428e+01
1.006666666666666643e+01,2.301666666666666572e+01,3.438333333333333286e+01,5.799999999999999289e+01,6.543333333333333712e+01,6.163333333333332575e+01,6.085000000000000142e+01,5.521666666666666856e+01,4.543333333333333002e+01,2.959999999999999787e+01
9.800000000000000711e+00,3.491666666666667140e+01,4.473333333333333428e+01,6.300000000000000000e+01,6.868333333333332291e+01,6.611666666666667425e+01,6.458333333333334281e+01,5.856666666666666998e+01,4.946666666666666146e+01,3.401666666666666572e+01
1.001666666666666750e+01,3.223333333333333428e+01,4.433333333333333570e+01,6.440000000000000568e+01,6.979999999999999716e+01,6.770000000000000284e+01,6.438333333333333997e+01,6.055000000000000426e+01,5.148333333333333428e+01,3.611666666666666714e+01
1.005000000000000071e+01,2.426666666666666572e+01,4.443333333333333712e+01,6.283333333333332860e+01,6.834999999999999432e+01,6.560000000000000853e+01,6.321666666666666856e+01,5.753333333333333854e+01,4.756666666666666998e+01,3.225000000000000000e+01
1.021666666666666679e+01,2.461666666666666714e+01,4.144999999999999574e+01,6.246666666666666856e+01,6.989999999999999147e+01,6.656666666666666288e+01,6.391666666666666430e+01,5.733333333333333570e+01,4.739999999999999858e+01,3.378333333333333144e+01
